,n,k,t,speed,g
94,511,340,20,0.6653620352250489,8787B17194F32690D909CA589DFBCE92F4241169FFF
95,511,331,21,0.6477495107632094,1B0693A246145E1C5FA8293CFF2B4697B67BF98E865ED1
96,511,322,22,0.6301369863013698,26BC66F68C4944BF1EDBDCA6E3DA9EA9E9465BF18FE3BA3B
97,511,313,23,0.6125244618395304,43E2302B9A1242FE53A4E271C77704D74A67E235EEF2A69F1F
98,511,304,25,0.5949119373776908,D23BC8A5D16DD74275579A1C38419D2ABB1A37C7E700EAB04EE9
99,511,295,26,0.5772994129158513,1256627F580D9E04954F3F5FEF5AF509B15831FCE854A7DCF926E1D
100,511,286,27,0.5596868884540117,2CF99C0D6BA5110D3FAD6127F7BF0EE60E7DC0EE654F5012EE5160339
101,511,277,28,0.5420743639921722,49278F514ACE4070C4BF7B0612B930CFF4A9617CF61E1FBF1680D59AC25
102,511,268,29,0.5244618395303327,A84E0A734BDCEB8D7D04CF0915A45D2D1FD59CC47438F323331560F750B81
103,511,259,30,0.5068493150684932,128B30927220D69F1D251F2419336DCFD5C1514EBB18ECE5FC364E88DA334C4F
104,511,250,31,0.4892367906066536,2075F61E33247165296BFBD7A93F355FB229AFE6AFBFE1DD4EB75BC6F39E7DCEA5
105,511,241,36,0.47162426614481406,4C598D564A1AC50B4C2CB234C41B82A35FE68ED85D768790CF61E03058954CDDC3D1
106,511,238,37,0.4657534246575342,2B626FD488EF96747B51047FB6CF092FF1F1FE5AA0C2FB4372AAD21D22D15B3885AFB
107,511,229,38,0.4481409001956947,6433C2ABFF31D39B590784479D5D6549182A3F8ADDE5EEBF757DF52A06A9D1FBF800645
108,511,220,39,0.43052837573385516,B61D1A810A98BF047CD8567F3BC740C66FADB4BE0D6582F50607F068F063E12CD238B6A2D
109,511,211,41,0.41291585127201563,1AFACB7265F767A72B944CD8262F8E5DA4FC52ABDA8671E54039803464E5C000FEDE5061FC03
110,511,202,42,0.3953033268101761,2ED1E0C733B4F46A358054DA50ACFBB41C7C3FCED6926A87E409C7DF0E976EC10F8AB2B5FDC93F
111,511,193,43,0.3776908023483366,4D34265B3E644DE782A00DA161A39C9DF8DB50C099F774A12F6AF580967715DEEEF77451ECE22A2D
112,511,184,45,0.36007827788649704,B42D3FEFB3F1C1FA4DCC3C1D7B45A90858DBD5EAAED59720C91F0E52F7D4E8ABD21E96A404766E8BB9
113,511,175,46,0.3424657534246575,1412C2E9BC6546FC7D4534299640DDBE1FDAEEC7E9C9B9989C76A065132FA3101F25C5FEFC5DE6F725D43
114,511,166,47,0.324853228962818,245FA4BBC1F4CCF88C92261F4CB9B290DB49EFF1A607E94497FDC54855DE2384A4E0F77700D29748C8DBC4B
115,511,157,51,0.30724070450097846,790793CC0308B48E764C1C9A8BE3D7A400A2627B6B3D74704850DA6E51907C38C00094F7DE0FCFCDA6196EB43
116,511,148,53,0.2896281800391389,C30B366283E55B61C186305812A68BF5DD07C5B8B5CBA5B86E38F67238E2BB7F94417643D133D09526BFC298531
117,511,139,54,0.2720156555772994,1FEB78C62B1C09FF2F9BD34C7C67D68F3F14B9954EE15B1F52E18C009BCE15BE29096BAF4F4AB6703C59C5C682D3F3
118,511,130,55,0.25440313111545987,2564444333B8EDACA8F25BF8556D001E4EAEF2913D36296D9AC37685977982841D7F289A29862A159EE5D8A9FA2D0CD1
119,511,121,58,0.23679060665362034,6C2B977EB7F555C2118484EB51E0BB239E85C7D32AD32AB51AFBFF1354A2BF3DDAEF0FB8CF82BF193EEFA3BE83E26EFEAF
120,511,112,59,0.2191780821917808,AD13D203F95ACB31E81417BEEC634554B2028EE8154315F2CA21C2F4CAC5164D465926748F75F6288AC4FF5BE94A94C356F5
121,511,103,61,0.20156555772994128,15BD09071F6BE793E821013451BF22F6699D31A4312B9EEDB831DE7AE88D563A05B78A783837A724B6C16B3B63EAEF63BE8111F
122,511,94,62,0.18395303326810175,21CCA5B2A43E2F58DFCA65F50615E97B24E8280E065520752C53C6D3C1C7A5CBAFACD77B04DC1BAEC9E225FAD60B3DFA887B2C6DD
123,511,85,63,0.16634050880626222,5931362E2B8B1E1132A00C576BC3176BDBF424B060769FEAA273F0D17CC0CDF91231913581A821C0071A100C25279294A4DACC1C8CD
124,511,76,85,0.1487279843444227,AD98BF9547F24B8A971BBA5F0C3B524C0F6F91DBE79D89B207848FFAD3B37791732AC9184A83A6E7CF2E2C8AAAAE28D8C59A7E1153E45
125,511,67,87,0.13111545988258316,1BD14F93F5736AFF6A9F8AA73A02856842B2EA071AD9BDC0D11DE9842FBDC0459C1024BFB0E5DFBD44B01D21DF55A5C18035AA69E3680621
126,511,58,91,0.11350293542074363,22FA8FC00877144B18D63464937C9F24869AA4A04647F6A4C15A6E9766C0A5249C266B2C40F0D1317A5A9A4B9461DDBFB1C2AB69818261B181
127,511,49,93,0.0958904109589041,600FB2AA594B8E8E7E023298E7F39A231AAA69F6249C6DFD5C9965453368B55D37694F479BC6F39C6E5D6F4DF777EC27E23FD0C7DC205D50F5BB
128,511,40,95,0.07827788649706457,8D746B0C0C2C186438E9F2CCB3B6D3156E644B25D384225BDEB08027BF490E54E82F927B85A04FDB27A73D4262C58F3D49005140F987F96F817D93
129,511,31,109,0.060665362035225046,1020681744D0B066A19097EFB6FF4CA0C1850F7402E340EBF973FC9C99A4E7694FEE05F294F207260F4A807BF6958B9FFA86BAD4E22ADFA6FBA40CBE5
130,511,28,111,0.0547945205479452,D1A288F07117F2C92B56772CDAF81B25CBB949041E74441BD723EA0A321041860F263DAC60AA228E4834824B986FF91FC4A987207BD75C0AC8145BB59
131,511,19,119,0.03718199608610567,169A12F978D89D11503EDAD09813826278BE039F7AD70D8632FF927610E24FA785A9FEB07D94ADDA483834B13071544089522430DE38F767A1E665B44DCB
132,511,10,127,0.019569471624266144,3C23D3242F19EDD450DA31F88B0AD7EAA0A5F224A7D1070CB28E5D0169D673F99A9B025B640D2BD762684F2AC6F3BDFEEE6E2A4E3B57260C3A46B7D98B821F
133,511,1,255,0.0019569471624266144,7FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
134,1023,1013,1,0.9902248289345064,409
135,1023,1003,2,0.9804496578690127,101877
136,1023,993,3,0.9706744868035191,50A91113
137,1023,983,4,0.9608993157380255,182EBE91E9B
138,1023,973,5,0.9511241446725318,6F21CE1015FF9
139,1023,963,6,0.9413489736070382,1B642BB95045C4AD
140,1023,953,7,0.9315738025415444,68BE3CF3DB3D2C70CB
141,1023,943,8,0.9217986314760508,1F0F22579AB8400128CE5
142,1023,933,9,0.9120234604105572,5A756D8A96A24B479C95A19
143,1023,923,10,0.9022482893450635,104D3F9B412624870B9B662B93
144,1023,913,11,0.8924731182795699,7F6D77A4A8C6FB2E25D84213860D
145,1023,903,12,0.8826979472140762,1F939D5CD2128FFDE767C26B988EEAF
146,1023,893,13,0.8729227761485826,620F2F23E56CD665C03D9BCE350D0F511
147,1023,883,14,0.863147605083089,13F79793D7AA292C354FA652E006661177CB
148,1023,873,15,0.8533724340175953,5F7BB5C05D5AC00289B97E1040FF529180151B
149,1023,863,16,0.8435972629521017,1C81746E78492374F633AE021BADD04C082FCC64D
150,1023,858,17,0.8387096774193549,2D2B6CD8CD692ECD13A2F467867131E5DEEEBD4061
151,1023,848,18,0.8289345063538612,EC5EA1AA4AF7CF31EFC0F10BC5CB2410B5EA579280B3
152,1023,838,19,0.8191593352883676,2A231FBEAD1FB7FEE9B7AB443CCF40C99038E4713C4A275
153,1023,828,20,0.8093841642228738,A2D2504B267A6C03E42F419120B8BFD6581D0265E98FE260B
154,1023,818,21,0.7996089931573802,246357C48E640AF510F7F4D0C8B9D7D2BC65B031E8E6A2E6DF07
155,1023,808,22,0.7898338220918866,B6AF44431FEF25D35FB0108CB058628C216A63C4EB5D90E61ECC4F
156,1023,798,23,0.7800586510263929,3AAEA2A02517E25294CF2D022706F9D330D67C8BD6CF854D60282235F
157,1023,788,24,0.7702834799608993,94C3656EB015EFA98D0C2697228A3D1A9BC3ACD02931E4B1EBDCDBAB9B5
